id,trigger,conditions,script,text,options,notes
"#RULESET_NAME Night At Derinkuyu",,,,,,
,,,,,,
# Missions,,,,,,
,,,,,,
# Finding The Luminary,,,,,,
,,,,,,
# Bar Intro,,,,,,
naderin_ftl_blurbBar,naderin_ftl_blurbBar,,,"Some poor fellow is nursing their hangover with a bottle of alcohol, occasionally glancing up from their drunken stupor to ask passing captains for help about what appears to be a ship they've lost.",,
naderin_ftl_optionBar,naderin_ftl_optionBar,,,,"naderin_ftl_startBar:See what about their ship is giving them such a hangover",
naderin_ftl_optionTextBar,DialogOptionSelected,"$option == naderin_ftl_startBar","$missionId = naderin_ftl
FireAll naderin_ftl_greetingOpts","""Captain!"" $HeOrShe sneezes uncontrollably as you come close. There's a moment as you maneuver yourself to be just out of range of the river of snot and alcohol dribbling down the front of $hisOrHer face and onto the floor.

To be sick, crying, and drunk is not the best of combinations, to put it lightly.

""Mind if you help me find my ship?"" $HeOrShe sneezes again, and out of the corner of your eye, you notice your bodyguards take two steps back.",,
naderin_ftl_askShipOpt,naderin_ftl_greetingOpts,"$askedWhatHappened == false",,,"naderin_ftl_askShip:Ask about what happened",
naderin_ftl_askShip,DialogOptionSelected,"$option == naderin_ftl_askShip","$askedWhatHappened = true
SetTextHighlights ""The Luminary""
FireAll naderin_ftl_greetingOpts","""Ah. Right."" $HeOrShe sniffles. ""I had this most lovely ship. I called her The Luminary, because she was my light in the darkness. Me and her, so many journeys we've had together... ah.""

You wait patiently for the poor fellow to blow through another round of Tri-Tachyon branded tissues. ""Sorry, captain. It's just... Pirates! Pirates struck down my pride and joy, and now for all I know it's a pile of scrap in their cursed holds. So... if you would do me a favour and find out what happened to 'er, I'd at least have some sense of closure."" ",,
naderin_ftl_findCoverOpt,naderin_ftl_greetingOpts,"$foundCover == false
$askedAboutPayment == false",,,"5:naderin_ftl_findCover:Find some cover before it's too late",
naderin_ftl_findCover,DialogOptionSelected,"$option == naderin_ftl_findCover","$foundCover = true
Call $global.naderin_ftl_ref showGiver
FireBest naderin_ftl_reopenMap
FireAll naderin_ftl_greetingOpts","Deciding not to risk any sort of biohazard from impacting your person and landing you in the medbay for a week, you motion one of your guards to stand in front of you.

""Shields up, eh? I can't blame you for that, captain."" The snot-dribbling fellow wheezes between chunks of words. ""They getting hazard pay at least?""

There's no doubting that there's a Reaper missile stuffed deep inside $hisOrHer lungs, you justify to yourself. No way will you be taking the risk of facing that head on alone.",,
naderin_ftl_askLeadsOpt,naderin_ftl_greetingOpts,"$askedWhatHappened == true
$askedForLeads == false",,,"naderin_ftl_askLeads:Ask for the ship's last known location",
naderin_ftl_askLeads,DialogOptionSelected,"$option == naderin_ftl_askLeads","$askedForLeads = true
FireAll naderin_ftl_greetingOpts
Highlight $naderin_ftl_systemName $naderin_ftl_dist
Call $global.naderin_ftl_ref getMapForDebrisPhase ""Location: $naderin_ftl_systemName""","""I lost her in the $naderin_ftl_systemName just a month or two ago. Not even that far! Just $naderin_ftl_dist lightyears away.""

There's a moment of silence as $heOrShe collects $himOrHerself. ""It was a good fight, it really was! Just... there was too many of them. And... I was a coward. I wasn't even at the helm when she blew!""

$HeOrShe slumps down, a hand reaching out for another Tri-Tachyon branded tissue. ""We were so close to retirement too, she and I. So close.""",,
naderin_ftl_askAboutBattleOpt,naderin_ftl_greetingOpts,"$askedForLeads == true
$askedAboutBattle == false",,,"naderin_ftl_askAboutBattle:""How did the battle go, exactly?""",
naderin_ftl_askAboutBattle,DialogOptionSelected,"$option == naderin_ftl_askAboutBattle","$askedAboutBattle = true
Call $global.naderin_ftl_ref showGiver
FireBest naderin_ftl_reopenMap
SetTextHighlights ""Apogee-class cruiser""","""You want to know... fine. If you think it'll help."" $HeOrShe manages a quick gulp of alcohol before $heOrShe begins to recount their tale of woe.

""It was a routine survey mission. The Luminary was perfect for the job, of course. She was an Apogee-class cruiser, and she'd seen her fair share of battles. So had I, but... those pirates. Normally, a fleet of their size'd be too slow to catch us, but they caught us by surprise as we were jumping in.""

""We were too close to run, so we fought. It took us losing half the surveying fleet before we could disengage, and make a break for it. We e-burned away in a panic, and the pirates... sustained burn. Can you believe that?""","naderin_ftl_askAboutBattleCont:Continue",
naderin_ftl_askAboutBattleCont,DialogOptionSelected,"$option == naderin_ftl_askAboutBattleCont","FireAll naderin_ftl_greetingOpts","The outcome was obvious. The pirate fleet caught up eventually to the panicked survey fleet and managed to defeat the rest of the fleet in a second engagement. It was, as $heOrShe puts it, ""a hopeless battle"".

""I was lucky enough to escape that second fight on a Dram as it were, captain. Might have been the cowardice, luck, or both, but at least I'm here to tell the tale.""

$HeOrShe takes the chance to grab yet another handful of Tri-Tachyon branded tissues before you continue.",,
naderin_ftl_askAboutShipOpt,naderin_ftl_greetingOpts,"$askedAboutShip == false
$askedWhatHappened == true",,,"naderin_ftl_askAboutShip:Ask about The Luminary",
